epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1669.34,1.60245,1.62451,1.28788,0.51077,0.25933,0.2001,0.11121,1.57352,1.57416,1.28216,0.00802,0.00802,0.00802
42,1707.68,1.58891,1.59987,1.28046,0.44554,0.26467,0.20069,0.11099,1.58356,1.56575,1.27964,0.0079705,0.0079705,0.0079705
43,1745.64,1.58968,1.6003,1.27235,0.25094,0.27071,0.19836,0.11136,1.57738,1.54731,1.27889,0.007921,0.007921,0.007921
44,1783.52,1.58713,1.59634,1.27497,0.35579,0.26876,0.20133,0.11343,1.57789,1.55735,1.29125,0.0078715,0.0078715,0.0078715
45,1821.36,1.58279,1.57229,1.2693,0.25222,0.27914,0.20699,0.11533,1.56573,1.53802,1.28077,0.007822,0.007822,0.007822
46,1860.23,1.57367,1.55915,1.26401,0.37455,0.26828,0.19924,0.1095,1.57228,1.53603,1.28405,0.0077725,0.0077725,0.0077725
47,1903.72,1.57996,1.56044,1.26523,0.27697,0.28194,0.21443,0.12259,1.55116,1.52531,1.26736,0.007723,0.007723,0.007723
48,1941.88,1.57274,1.54294,1.25807,0.37801,0.27224,0.2179,0.12332,1.55068,1.51322,1.26704,0.0076735,0.0076735,0.0076735
49,1979.91,1.5685,1.5427,1.25954,0.36318,0.28966,0.22079,0.12447,1.52954,1.50613,1.24739,0.007624,0.007624,0.007624
50,2017.58,1.56528,1.52961,1.2519,0.37247,0.28193,0.22229,0.12446,1.54935,1.49316,1.2652,0.0075745,0.0075745,0.0075745
51,2061.44,1.56372,1.52884,1.24949,0.27917,0.28704,0.22894,0.12933,1.52248,1.49716,1.24511,0.007525,0.007525,0.007525
52,2104.78,1.56165,1.51905,1.24734,0.27988,0.28771,0.23016,0.13031,1.52136,1.4597,1.24974,0.0074755,0.0074755,0.0074755
53,2143.37,1.56061,1.51046,1.25001,0.27758,0.28533,0.23265,0.13198,1.52703,1.46696,1.23811,0.007426,0.007426,0.007426
54,2181.27,1.55797,1.49764,1.24653,0.36498,0.29084,0.23019,0.13038,1.52407,1.47771,1.24623,0.0073765,0.0073765,0.0073765
55,2233.5,1.55465,1.50031,1.24353,0.27547,0.29347,0.22911,0.13025,1.53026,1.47202,1.24734,0.007327,0.007327,0.007327
56,2271.16,1.54949,1.48811,1.23738,0.38701,0.27929,0.2395,0.13696,1.52026,1.45297,1.23978,0.0072775,0.0072775,0.0072775
57,2312.09,1.54732,1.47968,1.24011,0.3807,0.29098,0.24033,0.13789,1.52344,1.47288,1.24313,0.007228,0.007228,0.007228
58,2350.53,1.5406,1.47517,1.23775,0.38336,0.277,0.23687,0.13626,1.51365,1.43287,1.22962,0.0071785,0.0071785,0.0071785
59,2389.42,1.54102,1.46552,1.23469,0.30089,0.29804,0.24298,0.13842,1.51012,1.42534,1.2366,0.007129,0.007129,0.007129
60,2427.52,1.53255,1.45535,1.23285,0.41746,0.29151,0.25287,0.14569,1.5131,1.43092,1.22852,0.0070795,0.0070795,0.0070795
61,2467.56,1.53565,1.46658,1.22625,0.30688,0.28586,0.25263,0.14464,1.49201,1.4287,1.22631,0.00703,0.00703,0.00703
62,2505.92,1.527,1.44568,1.22449,0.40185,0.28913,0.24814,0.14214,1.50869,1.41863,1.2269,0.0069805,0.0069805,0.0069805
63,2543.92,1.52342,1.45099,1.22311,0.30549,0.30709,0.25482,0.14564,1.5002,1.39098,1.22028,0.006931,0.006931,0.006931
64,2582.72,1.52354,1.43794,1.21887,0.30187,0.29182,0.25413,0.1461,1.48431,1.37393,1.21228,0.0068815,0.0068815,0.0068815
65,2620.85,1.52205,1.43544,1.21711,0.45138,0.28398,0.2641,0.15186,1.48473,1.37411,1.21443,0.006832,0.006832,0.006832
66,2659.62,1.5176,1.42598,1.21674,0.32576,0.29675,0.26742,0.15408,1.50334,1.37037,1.22118,0.0067825,0.0067825,0.0067825
67,2698.25,1.52278,1.42232,1.21457,0.34904,0.29846,0.26746,0.15475,1.47995,1.35249,1.21306,0.006733,0.006733,0.006733
68,2736.86,1.50643,1.41281,1.20799,0.43679,0.29613,0.27034,0.15677,1.4778,1.34881,1.2135,0.0066835,0.0066835,0.0066835
69,2775.46,1.5138,1.40711,1.20745,0.42411,0.30521,0.27356,0.15939,1.47884,1.35506,1.20855,0.006634,0.006634,0.006634
70,2818.9,1.50986,1.40362,1.21053,0.35909,0.30725,0.2717,0.15852,1.47502,1.36209,1.21273,0.0065845,0.0065845,0.0065845
71,2856.33,1.50724,1.39984,1.20467,0.45073,0.29728,0.27311,0.15775,1.48602,1.35425,1.21342,0.006535,0.006535,0.006535
72,2895.5,1.50349,1.39785,1.20538,0.33637,0.31041,0.27625,0.15996,1.47471,1.34187,1.20393,0.0064855,0.0064855,0.0064855
73,2933.77,1.49673,1.38476,1.20674,0.37457,0.31245,0.28273,0.16431,1.47049,1.32936,1.20411,0.006436,0.006436,0.006436
74,2972.6,1.49897,1.38255,1.20297,0.35061,0.31159,0.28573,0.16827,1.46275,1.3488,1.20069,0.0063865,0.0063865,0.0063865
75,3015.06,1.50311,1.39136,1.20099,0.36887,0.30553,0.28284,0.16552,1.4531,1.3289,1.19661,0.006337,0.006337,0.006337
76,3053.63,1.496,1.37419,1.19859,0.37143,0.31464,0.28808,0.16869,1.46053,1.32431,1.1912,0.0062875,0.0062875,0.0062875
77,3092.24,1.50739,1.38304,1.19917,0.48014,0.29766,0.29015,0.16968,1.46068,1.31508,1.19167,0.006238,0.006238,0.006238
78,3130.81,1.48746,1.36255,1.19371,0.42718,0.3131,0.29201,0.17086,1.45482,1.30556,1.19038,0.0061885,0.0061885,0.0061885
79,3170.28,1.48583,1.36107,1.19593,0.37519,0.32274,0.29039,0.16896,1.46034,1.31708,1.20156,0.006139,0.006139,0.006139
80,3208.01,1.48242,1.35073,1.19248,0.38774,0.32627,0.30019,0.17486,1.44847,1.30982,1.18772,0.0060895,0.0060895,0.0060895
81,3246.14,1.48934,1.35485,1.19002,0.38892,0.31755,0.29931,0.17667,1.44146,1.31266,1.18249,0.00604,0.00604,0.00604
