epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,7153.77,1.32958,1.05028,1.09238,0.44837,0.37477,0.37025,0.21929,1.39471,1.14858,1.13331,0.0011395,0.0011395,0.0011395
181,7192.38,1.33225,1.04862,1.09369,0.4448,0.37606,0.36996,0.21898,1.39534,1.14939,1.13341,0.00109,0.00109,0.00109
182,7231.01,1.32886,1.05451,1.09122,0.45576,0.37027,0.3698,0.21913,1.39366,1.14894,1.13277,0.0010405,0.0010405,0.0010405
183,7269.9,1.33293,1.04618,1.09366,0.46336,0.36861,0.3702,0.21978,1.39328,1.1467,1.13277,0.000991,0.000991,0.000991
184,7307.88,1.32941,1.04749,1.0948,0.46384,0.36994,0.36994,0.21971,1.39251,1.1465,1.13274,0.0009415,0.0009415,0.0009415
185,7346.05,1.33673,1.04951,1.0933,0.46079,0.3711,0.37067,0.22025,1.39243,1.14717,1.13258,0.000892,0.000892,0.000892
186,7384.08,1.33174,1.04293,1.09329,0.45146,0.37473,0.37007,0.21999,1.39275,1.14719,1.13248,0.0008425,0.0008425,0.0008425
187,7422.68,1.33242,1.04388,1.08984,0.45801,0.36892,0.37039,0.22016,1.39084,1.14523,1.13229,0.000793,0.000793,0.000793
188,7461.59,1.33443,1.04851,1.0902,0.45985,0.369,0.37003,0.22045,1.38998,1.14316,1.13179,0.0007435,0.0007435,0.0007435
189,7500.36,1.33189,1.04556,1.09572,0.45608,0.37088,0.36966,0.22061,1.39033,1.14427,1.13204,0.000694,0.000694,0.000694
190,7538.61,1.32488,1.03604,1.08992,0.45647,0.37393,0.37055,0.22103,1.39053,1.14604,1.13212,0.0006445,0.0006445,0.0006445
191,7584.35,1.32355,1.03558,1.08773,0.45426,0.37515,0.37044,0.22082,1.39059,1.14654,1.13234,0.000595,0.000595,0.000595
192,7623.09,1.32699,1.03178,1.08858,0.45029,0.37281,0.37053,0.22073,1.39037,1.14657,1.13242,0.0005455,0.0005455,0.0005455
193,7661.85,1.32202,1.03402,1.08838,0.45228,0.37449,0.37117,0.22133,1.38978,1.14757,1.13207,0.000496,0.000496,0.000496
194,7700.4,1.32251,1.03332,1.08429,0.45442,0.3742,0.37157,0.22161,1.3901,1.14787,1.13195,0.0004465,0.0004465,0.0004465
195,7738.97,1.31817,1.03279,1.08532,0.45733,0.37326,0.37181,0.22193,1.38941,1.14714,1.13158,0.000397,0.000397,0.000397
196,7776.85,1.31659,1.02938,1.0852,0.45636,0.37541,0.37218,0.22191,1.38828,1.14649,1.13127,0.0003475,0.0003475,0.0003475
197,7815.31,1.31078,1.02256,1.08689,0.46755,0.36852,0.37187,0.22138,1.3888,1.14623,1.13127,0.000298,0.000298,0.000298
198,7853.6,1.30643,1.01487,1.07984,0.46768,0.37033,0.37142,0.22137,1.38889,1.14619,1.13112,0.0002485,0.0002485,0.0002485
199,7891.46,1.31225,1.01587,1.08316,0.46327,0.37322,0.37127,0.22124,1.3888,1.1465,1.13123,0.000199,0.000199,0.000199
200,7952.34,1.30328,1.01113,1.08022,0.46161,0.37336,0.37135,0.22171,1.38821,1.14555,1.13109,0.0001495,0.0001495,0.0001495
